freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.489e+01,5.277e+00,1.019e+01,1.004e+02
1.5,6.397e+01,2.186e+01,3.467e+01,1.205e+02
3.1,3.597e+01,2.658e+01,4.323e+01,1.058e+02
4.6,3.148e+02,2.710e+01,4.551e+01,3.874e+02
6.1,1.109e+03,2.928e+01,4.816e+01,1.187e+03
7.7,1.765e+03,2.918e+01,4.622e+01,1.840e+03
9.2,2.394e+03,2.926e+01,4.771e+01,2.471e+03
10.7,3.163e+03,2.933e+01,4.826e+01,3.241e+03
12.3,3.980e+03,3.006e+01,4.447e+01,4.054e+03
13.8,4.844e+03,3.082e+01,4.750e+01,4.922e+03
15.3,5.766e+03,3.021e+01,4.806e+01,5.844e+03
16.9,6.477e+03,3.060e+01,4.825e+01,6.556e+03
18.4,7.157e+03,3.092e+01,4.814e+01,7.236e+03
19.9,8.107e+03,3.469e+01,5.595e+01,8.198e+03
21.5,9.053e+03,3.496e+01,6.424e+01,9.152e+03
23.0,1.002e+04,3.299e+01,6.472e+01,1.012e+04
24.5,1.082e+04,3.925e+01,7.669e+01,1.093e+04
26.1,1.137e+04,5.151e+01,6.010e+01,1.148e+04
27.6,1.228e+04,4.874e+01,4.801e+01,1.238e+04
29.1,1.273e+04,4.545e+01,4.802e+01,1.283e+04
30.7,1.388e+04,5.107e+01,5.425e+01,1.398e+04
32.2,1.523e+04,6.133e+01,5.357e+01,1.535e+04
33.7,1.600e+04,7.528e+01,5.226e+01,1.613e+04
35.3,1.691e+04,1.087e+02,5.328e+01,1.707e+04
36.8,1.784e+04,2.283e+02,5.965e+01,1.813e+04
38.4,1.793e+04,3.481e+02,7.599e+01,1.836e+04
39.9,1.670e+04,3.569e+02,8.725e+01,1.714e+04
41.4,1.471e+04,2.672e+02,1.018e+02,1.508e+04
43.0,1.452e+04,2.033e+02,1.108e+02,1.484e+04
44.5,1.590e+04,1.607e+02,1.208e+02,1.619e+04
46.0,1.773e+04,1.472e+02,1.320e+02,1.801e+04
47.6,1.963e+04,1.322e+02,1.358e+02,1.990e+04
49.1,2.127e+04,1.317e+02,1.509e+02,2.156e+04
50.6,2.216e+04,1.443e+02,1.686e+02,2.247e+04
