freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.159e+01,1.431e+02,1.134e+02,2.781e+02
1.5,3.867e+01,1.044e+02,1.245e+02,2.676e+02
3.0,3.655e+01,3.859e+01,7.735e+01,1.525e+02
4.4,6.134e+01,2.658e+02,9.146e+01,4.186e+02
5.9,1.581e+02,1.172e+03,1.279e+02,1.458e+03
7.4,2.519e+02,1.861e+03,1.444e+02,2.258e+03
8.9,3.056e+02,2.072e+03,1.651e+02,2.542e+03
10.4,3.869e+02,2.916e+03,2.139e+02,3.517e+03
11.8,4.885e+02,4.326e+03,2.566e+02,5.071e+03
13.3,5.008e+02,5.364e+03,2.859e+02,6.151e+03
14.8,6.114e+02,5.592e+03,3.803e+02,6.584e+03
16.3,8.577e+02,6.556e+03,5.485e+02,7.962e+03
17.7,1.164e+03,8.249e+03,7.067e+02,1.012e+04
19.2,1.348e+03,9.834e+03,8.502e+02,1.203e+04
20.7,1.285e+03,1.110e+04,9.716e+02,1.335e+04
22.2,1.310e+03,1.221e+04,1.025e+03,1.455e+04
23.7,1.534e+03,1.412e+04,1.281e+03,1.693e+04
25.1,1.817e+03,1.710e+04,1.664e+03,2.058e+04
26.6,2.249e+03,2.184e+04,1.959e+03,2.604e+04
28.1,2.734e+03,2.676e+04,2.402e+03,3.189e+04
29.6,3.492e+03,3.425e+04,2.934e+03,4.068e+04
31.1,4.610e+03,4.845e+04,5.643e+03,5.870e+04
32.5,5.943e+03,6.441e+04,1.266e+04,8.302e+04
34.0,8.407e+03,8.718e+04,2.171e+04,1.173e+05
35.5,1.407e+04,1.449e+05,4.229e+04,2.012e+05
37.0,2.359e+04,2.529e+05,8.988e+04,3.663e+05
38.5,2.921e+04,3.331e+05,1.482e+05,5.105e+05
39.9,2.919e+04,3.394e+05,1.839e+05,5.524e+05
41.4,2.531e+04,2.776e+05,1.870e+05,4.900e+05
42.9,1.960e+04,2.030e+05,1.781e+05,4.007e+05
44.4,1.452e+04,1.474e+05,1.679e+05,3.297e+05
45.8,1.050e+04,1.055e+05,1.597e+05,2.757e+05
47.3,7.231e+03,7.226e+04,1.543e+05,2.338e+05
48.8,4.836e+03,4.730e+04,1.494e+05,2.016e+05
50.3,3.038e+03,2.878e+04,1.419e+05,1.737e+05
51.8,1.852e+03,1.648e+04,1.317e+05,1.501e+05
53.2,1.261e+03,9.690e+03,1.240e+05,1.350e+05
54.7,1.194e+03,9.443e+03,1.494e+05,1.600e+05
56.2,2.229e+03,2.036e+04,2.242e+05,2.468e+05
57.7,6.238e+03,4.960e+04,3.103e+05,3.661e+05
59.2,1.554e+04,7.842e+04,3.162e+05,4.102e+05
60.6,2.759e+04,8.202e+04,2.239e+05,3.335e+05
62.1,3.475e+04,7.204e+04,1.154e+05,2.222e+05
63.6,3.032e+04,6.117e+04,5.223e+04,1.437e+05
65.1,1.974e+04,5.476e+04,2.913e+04,1.036e+05
66.5,1.132e+04,5.043e+04,2.193e+04,8.368e+04
68.0,6.708e+03,4.488e+04,1.843e+04,7.002e+04
69.5,4.509e+03,3.897e+04,1.560e+04,5.908e+04
71.0,3.118e+03,3.478e+04,1.391e+04,5.180e+04
72.5,1.813e+03,3.073e+04,1.146e+04,4.400e+04
73.9,9.899e+02,2.606e+04,8.488e+03,3.554e+04
75.4,4.664e+02,2.411e+04,6.536e+03,3.111e+04
76.9,2.330e+02,2.491e+04,5.096e+03,3.024e+04
78.4,5.130e+02,2.605e+04,3.934e+03,3.050e+04
79.9,1.545e+03,2.588e+04,3.376e+03,3.080e+04
81.3,3.108e+03,2.102e+04,2.918e+03,2.704e+04
82.8,3.644e+03,1.258e+04,2.284e+03,1.851e+04
84.3,2.958e+03,7.274e+03,1.705e+03,1.194e+04
