freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.429e+01,1.508e+02,1.181e+02,2.932e+02
1.5,4.272e+01,1.079e+02,1.189e+02,2.695e+02
3.0,3.780e+01,3.624e+01,6.865e+01,1.427e+02
4.4,5.891e+01,2.639e+02,7.107e+01,3.939e+02
5.9,1.540e+02,1.146e+03,1.111e+02,1.411e+03
7.4,2.610e+02,1.883e+03,1.243e+02,2.268e+03
8.9,3.153e+02,2.159e+03,1.375e+02,2.611e+03
10.4,3.910e+02,2.939e+03,1.865e+02,3.516e+03
11.8,5.170e+02,4.234e+03,2.329e+02,4.984e+03
13.3,5.188e+02,5.220e+03,2.306e+02,5.969e+03
14.8,5.629e+02,5.546e+03,3.554e+02,6.464e+03
16.3,7.889e+02,6.377e+03,5.104e+02,7.677e+03
17.8,1.058e+03,7.812e+03,6.138e+02,9.484e+03
19.2,1.259e+03,9.515e+03,7.507e+02,1.153e+04
20.7,1.279e+03,1.087e+04,8.184e+02,1.297e+04
22.2,1.312e+03,1.191e+04,8.781e+02,1.410e+04
23.7,1.430e+03,1.343e+04,1.044e+03,1.591e+04
25.2,1.642e+03,1.580e+04,1.296e+03,1.873e+04
26.6,2.005e+03,1.938e+04,1.482e+03,2.287e+04
28.1,2.530e+03,2.390e+04,1.579e+03,2.801e+04
29.6,3.082e+03,3.090e+04,2.216e+03,3.620e+04
31.1,3.491e+03,3.960e+04,4.904e+03,4.800e+04
32.6,4.316e+03,4.828e+04,8.963e+03,6.156e+04
34.0,5.504e+03,5.982e+04,1.255e+04,7.787e+04
35.5,7.851e+03,8.480e+04,2.011e+04,1.128e+05
37.0,1.288e+04,1.328e+05,3.651e+04,1.822e+05
38.5,2.040e+04,2.050e+05,6.547e+04,2.908e+05
40.0,2.779e+04,2.812e+05,1.062e+05,4.152e+05
41.4,2.950e+04,3.077e+05,1.387e+05,4.759e+05
42.9,2.675e+04,2.880e+05,1.544e+05,4.691e+05
44.4,2.203e+04,2.399e+05,1.570e+05,4.189e+05
45.9,1.678e+04,1.842e+05,1.501e+05,3.510e+05
47.4,1.228e+04,1.362e+05,1.417e+05,2.902e+05
48.8,8.444e+03,9.640e+04,1.333e+05,2.382e+05
50.3,5.494e+03,6.612e+04,1.229e+05,1.945e+05
51.8,3.260e+03,4.188e+04,1.083e+05,1.535e+05
53.3,1.864e+03,2.502e+04,9.387e+04,1.208e+05
54.8,1.136e+03,1.526e+04,8.973e+04,1.061e+05
56.2,7.211e+02,1.038e+04,9.860e+04,1.097e+05
57.7,4.755e+02,1.087e+04,1.265e+05,1.378e+05
59.2,5.922e+02,2.152e+04,1.992e+05,2.213e+05
60.7,2.419e+03,5.209e+04,3.325e+05,3.870e+05
62.2,1.003e+04,8.764e+04,4.340e+05,5.317e+05
63.7,2.376e+04,9.436e+04,3.533e+05,4.714e+05
65.1,3.114e+04,7.380e+04,1.679e+05,2.729e+05
66.6,2.609e+04,5.575e+04,5.656e+04,1.384e+05
68.1,1.872e+04,4.733e+04,2.663e+04,9.268e+04
69.6,1.291e+04,4.137e+04,1.985e+04,7.413e+04
71.1,8.647e+03,3.547e+04,1.630e+04,6.041e+04
72.5,5.261e+03,3.075e+04,1.306e+04,4.908e+04
74.0,3.040e+03,2.609e+04,9.234e+03,3.837e+04
75.5,1.856e+03,2.356e+04,6.549e+03,3.196e+04
77.0,1.187e+03,2.277e+04,4.989e+03,2.894e+04
78.5,8.085e+02,2.215e+04,4.278e+03,2.724e+04
79.9,6.677e+02,2.137e+04,4.054e+03,2.610e+04
81.4,7.638e+02,2.105e+04,4.051e+03,2.587e+04
82.9,1.118e+03,2.026e+04,4.092e+03,2.547e+04
84.4,1.812e+03,1.786e+04,3.936e+03,2.361e+04
85.9,2.542e+03,1.338e+04,3.566e+03,1.949e+04
87.3,2.570e+03,9.187e+03,3.161e+03,1.492e+04
88.8,2.104e+03,6.708e+03,2.813e+03,1.163e+04
90.3,1.681e+03,5.360e+03,2.595e+03,9.636e+03
91.8,1.253e+03,4.969e+03,2.347e+03,8.569e+03
93.3,9.798e+02,5.406e+03,2.187e+03,8.573e+03
94.7,1.237e+03,5.704e+03,3.018e+03,9.959e+03
96.2,1.506e+03,4.207e+03,2.268e+03,7.981e+03
97.7,1.159e+03,4.290e+03,1.313e+03,6.762e+03
99.2,9.335e+02,4.841e+03,1.026e+03,6.800e+03
100.7,8.736e+02,5.049e+03,1.200e+03,7.122e+03
102.1,9.446e+02,5.166e+03,1.344e+03,7.454e+03
103.6,1.058e+03,4.921e+03,1.389e+03,7.368e+03
105.1,1.215e+03,4.300e+03,1.460e+03,6.974e+03
106.6,1.309e+03,3.504e+03,1.574e+03,6.387e+03
108.1,1.228e+03,2.788e+03,1.670e+03,5.686e+03
109.5,9.745e+02,2.644e+03,1.846e+03,5.465e+03
111.0,7.089e+02,3.082e+03,2.427e+03,6.218e+03
112.5,6.355e+02,3.505e+03,3.445e+03,7.586e+03
114.0,7.226e+02,3.596e+03,4.198e+03,8.517e+03
115.5,8.627e+02,3.351e+03,4.461e+03,8.675e+03
116.9,1.045e+03,2.575e+03,4.110e+03,7.730e+03
118.4,1.145e+03,1.853e+03,3.397e+03,6.396e+03
119.9,1.165e+03,1.266e+03,2.417e+03,4.848e+03
121.4,9.730e+02,8.580e+02,1.352e+03,3.183e+03
122.9,7.994e+02,8.187e+02,8.024e+02,2.420e+03
124.3,6.448e+02,8.861e+02,6.633e+02,2.194e+03
125.8,5.436e+02,9.359e+02,9.026e+02,2.382e+03
127.3,4.338e+02,9.248e+02,1.179e+03,2.538e+03
128.8,3.739e+02,8.852e+02,1.294e+03,2.553e+03
130.3,3.704e+02,8.090e+02,1.175e+03,2.355e+03
131.7,3.729e+02,6.631e+02,9.513e+02,1.987e+03
133.2,2.193e+02,3.182e+02,4.926e+02,1.030e+03
134.7,8.219e+01,7.352e+01,1.933e+02,3.490e+02
136.2,6.087e+01,5.180e+01,1.639e+02,2.766e+02
137.7,5.517e+01,5.521e+01,1.463e+02,2.567e+02
139.1,5.403e+01,5.278e+01,1.346e+02,2.414e+02
140.6,4.832e+01,5.041e+01,1.229e+02,2.217e+02
142.1,4.823e+01,5.530e+01,1.138e+02,2.173e+02
143.6,4.977e+01,4.330e+01,1.070e+02,2.001e+02
145.1,4.901e+01,3.961e+01,8.726e+01,1.759e+02
146.5,4.750e+01,3.953e+01,8.421e+01,1.712e+02
148.0,4.558e+01,3.587e+01,9.172e+01,1.732e+02
149.5,4.825e+01,3.674e+01,8.439e+01,1.694e+02
151.0,5.221e+01,4.148e+01,8.829e+01,1.820e+02
152.5,5.041e+01,4.517e+01,8.919e+01,1.848e+02
153.9,4.855e+01,4.187e+01,7.785e+01,1.683e+02
155.4,5.081e+01,4.521e+01,7.747e+01,1.735e+02
156.9,4.899e+01,4.793e+01,8.388e+01,1.808e+02
158.4,4.864e+01,5.289e+01,8.462e+01,1.862e+02
159.9,5.333e+01,5.732e+01,8.573e+01,1.964e+02
161.3,4.964e+01,6.210e+01,8.104e+01,1.928e+02
162.8,4.407e+01,6.053e+01,8.626e+01,1.909e+02
164.3,4.518e+01,5.640e+01,8.072e+01,1.823e+02
165.8,4.509e+01,6.363e+01,8.053e+01,1.893e+02
167.3,4.408e+01,5.793e+01,9.107e+01,1.931e+02
168.7,4.197e+01,5.458e+01,1.005e+02,1.971e+02
170.2,3.972e+01,5.746e+01,1.073e+02,2.045e+02
171.7,4.106e+01,5.598e+01,1.028e+02,1.998e+02
173.2,3.933e+01,5.832e+01,9.874e+01,1.964e+02
174.7,3.666e+01,5.833e+01,1.008e+02,1.958e+02
176.2,3.333e+01,5.173e+01,1.100e+02,1.951e+02
177.6,3.284e+01,4.732e+01,1.144e+02,1.945e+02
179.1,3.566e+01,4.452e+01,1.198e+02,2.000e+02
180.6,3.475e+01,4.686e+01,1.272e+02,2.088e+02
182.1,3.561e+01,5.204e+01,1.236e+02,2.112e+02
183.6,3.354e+01,5.456e+01,1.170e+02,2.051e+02
185.0,3.592e+01,6.419e+01,1.162e+02,2.163e+02
186.5,3.647e+01,7.329e+01,1.035e+02,2.132e+02
188.0,3.786e+01,7.684e+01,8.691e+01,2.016e+02
189.5,4.198e+01,7.499e+01,8.416e+01,2.011e+02
191.0,4.302e+01,7.050e+01,8.656e+01,2.001e+02
192.4,4.000e+01,6.640e+01,7.886e+01,1.853e+02
193.9,3.692e+01,6.527e+01,6.916e+01,1.714e+02
195.4,3.946e+01,6.137e+01,7.495e+01,1.758e+02
196.9,3.997e+01,5.424e+01,7.898e+01,1.732e+02
198.4,4.140e+01,5.020e+01,8.201e+01,1.736e+02
199.8,3.942e+01,4.521e+01,8.216e+01,1.668e+02
